Source,Amount,Contributions,Percent of Total Raised
Indiegogo (Explore),1308,2,32.3
Indiegogo (Search),1074,2,26.5
Indiegogo (Home),592,2,14.6
Google,537,1,13.3
Indiegogo (Email),537,1,13.3
